epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.031,1.40328,3.23817,1.84332,0.00845,0.74826,0.03219,0.01195,2.42929,3.45088,3.08561,0.0700325,0.00332972,0.00332972
2,685.476,1.43072,3.06606,1.85593,0.36387,0.23062,0.05145,0.02562,1.9671,3.42196,3.0675,0.0399995,0.00663007,0.00663007
3,1022.03,1.36373,2.95784,1.78812,0.18095,0.29336,0.05466,0.02831,1.65341,3.08022,2.49458,0.00993354,0.00989742,0.00989742
4,1355.47,1.30117,2.87504,1.73831,0.38829,0.17404,0.08693,0.05217,1.37578,2.66785,2.10682,0.0098515,0.0098515,0.0098515
5,1692.4,1.23484,2.78108,1.69014,0.23734,0.21292,0.10683,0.06341,1.38122,2.6936,2.08778,0.009802,0.009802,0.009802
6,2027.42,1.2033,2.71124,1.66761,0.18947,0.31036,0.1143,0.06935,1.33117,2.64275,2.03702,0.0097525,0.0097525,0.0097525
7,2364.5,1.19231,2.65046,1.64653,0.20284,0.36639,0.17326,0.10747,1.24908,2.3796,1.90577,0.009703,0.009703,0.009703
8,2700.85,1.17481,2.61453,1.6339,0.2231,0.3472,0.17223,0.10348,1.2998,2.38161,1.96963,0.0096535,0.0096535,0.0096535
9,3039.67,1.14825,2.56582,1.6153,0.23211,0.38105,0.17342,0.11099,1.24511,2.30659,1.93128,0.009604,0.009604,0.009604
10,3389.26,1.13386,2.52237,1.59923,0.19006,0.40857,0.1842,0.12,1.17512,2.29135,1.85437,0.0095545,0.0095545,0.0095545
11,3735.97,1.12121,2.49229,1.59383,0.24275,0.34679,0.16876,0.10113,1.26709,2.35005,1.88399,0.009505,0.009505,0.009505
12,4075.7,1.10912,2.4541,1.58014,0.27181,0.37646,0.21662,0.14207,1.15636,2.22089,1.80047,0.0094555,0.0094555,0.0094555
13,4415.68,1.10078,2.43327,1.57179,0.25531,0.41284,0.20539,0.13395,1.15233,2.36085,1.80639,0.009406,0.009406,0.009406
14,4754.1,1.10661,2.41669,1.57823,0.2901,0.44046,0.26803,0.17782,1.10337,2.04946,1.74687,0.0093565,0.0093565,0.0093565
15,5091.91,1.08567,2.3955,1.56281,0.3535,0.38206,0.26627,0.17601,1.07887,2.06551,1.70696,0.009307,0.009307,0.009307
16,5432.29,1.08513,2.36573,1.55864,0.26342,0.42474,0.25487,0.16217,1.05479,2.16047,1.67422,0.0092575,0.0092575,0.0092575
